 Cajun Boil Bar|Limited Hours|cajunseafoodohio.com|Reynoldsburg|2760 Brice Road|Reynoldsburg |OH|43068.0|614-863-8667|cajunseafoodohio.com|Website,Direct Call|nan|nan|nan|nan|"Yes, In Person"|nan|39.9250877|-82.830444
Cuzn'z Bar & Grill|Limited Hours|Like our page on FB|Pataskala|12897 C National Rd|Pataskala |OH|43062.0|7409633331|Cuznzbarandgrill.com|Direct Call|Direct from Restaurant |Carry Out|Yes|nan|"Yes, In Person"|nan|39.956055|-82.7252307
Dempsey's Food & Spirits|Limited Hours|https://dempseys.hrpos.heartland.us/?fbclid=IwAR2CUUCbWpyZcrMPaJCYrrJelnL2QWeNXFiX8COkgXMw8e4PWO3hTrkdDO8|Downtown|346 S. High Street|Columbus|OH|43215.0|614-586-0511|http://www.dempseysdowntown.com/|Direct Call,Website|nan|Carry Out,Curbside|Yes|nan|"Yes, Online","Yes, In Person"|nan|39.9550744|-82.9988709
Dirty Frank's Hot Dog Palace|Limited Hours|https://www.instagram.com/p/B9zEkqiA-y0/?igshid=o2jh2y73gtsh|Downtown|248 S. 4th St.|Columbus|OH|43215.0|6148244673|www.dirtyfranks.com|Direct Call|Direct from Restaurant |Carry Out|Yes|nan|"Yes, Online","Yes, In Person"|Yes|39.9575279|-82.9949555
District north |Limited Hours|www.district-north.com|Downtown|10 E long street |Columbus |OH|43215.0|6145574681|nan|Website,Delivery Apps|Direct from Restaurant ,GrubHub,Postmates,Door Dash,Uber Eats,Seamless|Carry Out|Yes|nan|No|Yes|39.9651447|-83.0006102
DK Diner|Regular Hours|www.thedkdiner.com|Grandview|1715 w 3rd Ave |Columbus |OH|43212.0|614-488-5160|www.thedkdiner.com|Direct Call,Website,Delivery Apps|Direct from Restaurant |Curbside,Carry Out|Yes|Please Call ahead for Donut and large food orders! |"Yes, In Person"|Mostly normal menu |39.9851063|-83.05168049999999
Edible Arrangements|Limited Hours|edible.com|Grandview|1415 Grandview Ave|Columbus|OH|43212.0|6144865560|edible.com|Direct Call,Website|Direct from Restaurant |Curbside|Yes|Same day orders until 4pm, order anytime for future days|No|nan|39.9864271|-83.0450946
Ethyl & Tank|Limited Hours|https://www.ethylandtank.com/|University District/Old North|19 E 13th Ave|Columbus|OH|43201.0|(614) 928-3788|https://www.ethylandtank.com/|Direct Call,Delivery Apps|Direct from Restaurant ,GrubHub,Uber Eats|Curbside,Carry Out|Yes|Give us a call and let us know when you want to pick it up.|"Yes, In Person"|Yes|39.9976576|-83.0069508
Firehouse Subs of Grandview|Regular Hours|https://www.firehousesubs.com/locations/oh/grandview/|Grandview|955 West Fifth Avenue|Columbus|OH|43212.0|614-298-1324|nan|Direct Call,Website,Delivery Apps|GrubHub,Postmates,Door Dash,Uber Eats|Carry Out|Yes|nan|"Yes, In Person"|nan|39.9873556|-83.03166039999999
Firehouse Subs of Pickerington|Regular Hours|https://www.firehousesubs.com/locations/oh/pickerington/|Pickerington|152 Clint Drive|Pickerington|OH|43147.0|614-892-7020|nan|Direct Call,Website,Delivery Apps|GrubHub,Postmates,Door Dash,Uber Eats|Carry Out|Yes|nan|"Yes, In Person"|nan|39.9196231|-82.7813747
Firehouse Subs of South Gahanna|Regular Hours|https://www.firehousesubs.com/locations/oh/south-gahanna/|Gahanna|406 Granville St|Gahanna|OH|43230.0|614-269-8600|nan|Direct Call,Website,Delivery Apps|GrubHub,Postmates,Door Dash,Uber Eats|Carry Out|Yes|nan|"Yes, In Person"|nan|40.0187214|-82.86706989999999
Flatiron Tavern|Limited Hours|www.flatirontavern.com/menu|Arena District|129 E Nationwide Blvd|Columbus|OH|43215.0|6145250091|www.flatirontavern.com|Direct Call,Delivery Apps|Direct from Restaurant ,GrubHub,Uber Eats|Curbside,Carry Out|No|nan|"Yes, In Person"|nan|39.96877380000001|-82.9981105
Fourth St Bar & Grill|Limited Hours|https://www.fourthstreetcolumbus.com/|University District/Old North|1810 N 4th St|Columbus|OH|43201.0|614-974-6555|https://www.fourthstreetcolumbus.com/|Direct Call,Delivery Apps|Direct from Restaurant ,GrubHub,Uber Eats|Curbside,Carry Out|Yes|Call us and let us know when you want to pick it up.|"Yes, In Person"|Yes|40.0003528|-82.9984083
Grandview Cafe|Limited Hours|https://www.bargrandview.com/menu/|Grandview|1455 W 3rd Ave |Columbus |OH|43212.0|614-725-1077|https://www.bargrandview.com/|Direct Call,Delivery Apps|Uber Eats,Postmates|Curbside,Carry Out|No|nan|"Yes, In Person"|nan|39.984917|-83.0445623
Hadley’s Bar and Kitchen|Limited Hours|http://www.hadleysbar.com/lunchdinner|Downtown|260 S 4th st. |Columbus|OH|43215.0|614-222-3022|http://www.hadleysbar.com/|Direct Call,Delivery Apps|Postmates,Uber Eats|Curbside,Carry Out|No|nan|"Yes, In Person"|nan|39.9572638|-82.994714
Happy house Chinese restaurant |Regular Hours|nan|Grandview|1267 w 5th ave |Columbus Ohio |OH|43212.0|6144882088|happyhouseoh.com|Direct Call,Website,Delivery Apps|GrubHub,Postmates,Direct from Restaurant |Curbside,Carry Out|Yes|nan|No|nan|39.9883197|-83.0400604
Hoggy's Restaurant and Catering|Regular Hours|https://direct.chownow.com/order/8391/locations|Northwest Columbus|830 Bethel Road|Columbus|OH|43214.0|6144421800|hoggys.com|Direct Call,Website,Delivery Apps,Email|Direct from Restaurant ,Postmates,Door Dash|Curbside,Carry Out|Yes|Accepting any and all orders.|"Yes, In Person"|nan|40.0636145|-83.0409624
Honey Dip Donuts & Diner|Regular Hours|http://honeydipdonutsdiner.com/|Northwest Columbus|4480 Kenny Road|Columbus|OH|43220.0|614-459-0812|http://honeydipdonutsdiner.com/|Direct Call,Delivery Apps|GrubHub,Door Dash,Uber Eats|Carry Out|Yes|24 hour notice to order donuts for next day pickup |"Yes, In Person"|nan|40.0498581|-83.04936289999999
Hoof Hearted Brewery & Kitchen|Limited Hours|https://hoofheartedkitchen.com/menu|Short North/Italian Village|850 N 4th St|Columbus|OH|43205.0|6149482527|https://hoofheartedkitchen.com/|Direct Call,Delivery Apps|Direct from Restaurant |Curbside,Carry Out|Yes|Call us and let us know when you want to pick it up.|"Yes, In Person"|Yes|39.980444|-82.998085
HY Asian Cuisine |Regular Hours|www.hyasiancuisine.com|University District/Old North|3011 Olentangy River Road |Columbus |OH|43202.0|614-754-8754|www.hyasiancuisine.com|Direct Call,Website,Delivery Apps|Uber Eats,Door Dash|Carry Out|Yes|nan|"Yes, In Person"|Normal menu items|40.02163040000001|-83.02562879999999
Japanese Oriental Restaurant |Regular Hours|https://japanese-oriental-restaurant.business.site/|University District/Old North|2283 N High St|Columbus |OH|43235.0|6148227053|https://japanese-oriental-restaurant.business.site/|Direct Call,Delivery Apps|GrubHub,Door Dash,Uber Eats|Carry Out|Yes|Order by 8pm for next day pickup |"Yes, In Person"|nan|40.0088157|-83.0101013
Jimmy John's Grove City Drive Thru|Limited Hours|https://www.jimmyjohns.com/|Grove City| 3041 Turnberry Ct|Grove City|OH|43123.0|(614) 801-1222|https://www.jimmyjohns.com/|Direct Call,Website|Direct from Restaurant |Curbside,Carry Out|Yes|Order last minute or for a future date!|"Yes, In Person","Yes, Online"|nan|39.9018007|-83.0763297
Jimmy John's Maxtown|Limited Hours|https://www.jimmyjohns.com/|Westerville|5803 Maxtown Rd|Westerville|OH|43082.0|(614) 891-5000|https://www.jimmyjohns.com/|Website,Direct Call|Direct from Restaurant |Carry Out|Yes|Order last minute or for any future date!|"Yes, In Person","Yes, Online"|nan|40.147046|-82.9221736
Jimmy John's New Albany|Limited Hours|https://www.jimmyjohns.com/menu/#/|New Albany| 5183 Hampsted Village Center Way|New Albany|OH|43054.0|(614) 933-0200|https://www.jimmyjohns.com/|Direct Call,Website|Direct from Restaurant |Carry Out|Yes|We take all last minute orders or as far in advance as you like|"Yes, In Person","Yes, Online"|nan|40.0889246|-82.82593380000002
Jimmy John's Shrock Rd|Limited Hours|https://www.jimmyjohns.com/menu/#/|Westerville|576 W Schrock Rd, Westerville, OH 43081|Westerville|OH|43081.0|(614) 818-1800|https://www.jimmyjohns.com/|Direct Call,Website|Direct from Restaurant |Carry Out|Yes|Order ahead for last minute orders or any future date!|"Yes, Online","Yes, In Person"|nan|40.111578|-82.945966
Jimmy V’s Grill & Pub Westerville|Regular Hours|https://jimmyvswesterville.com/menu/|Westerville|1 South State Street|Westerville |OH|43081.0|614-865-9090|www.jimmyvswesterville.com|Direct Call,Delivery Apps|Direct from Restaurant ,Door Dash,Uber Eats|Curbside,Carry Out|Yes|Feel free to place your order in advance by calling us at 614-865-9090 between 11am and 9pm!|"Yes, In Person"|nan|40.1256682|-82.93171050000001
Katalina's - Clintonville|Regular Hours|https://2337acfb-aaaa-41cb-b83d-df889859d772.filesusr.com/ugd/f8a30a_b61ca493c54f488ea5d53394b0081f97.pdf|Clintonville|3481 N High St|Columbus|OH|43214.0|614.689.8896|https://www.katalinas.com/|Direct Call|Direct from Restaurant |Curbside,Carry Out|No|nan|"Yes, Online"|nan|40.0331858|-83.01664620000001
Katalina's - Harrison West|Regular Hours|https://2337acfb-aaaa-41cb-b83d-df889859d772.usrfiles.com/ugd/f8a30a_65c8a8c426c843999ba6850f3dd54b44.pdf|Short North/Italian Village|1105 Pennsylvania Ave|Columbus|OH|43201.0|614-294-2233|https://www.katalinas.com/|Direct Call|Direct from Restaurant |Curbside,Carry Out|No|nan|"Yes, Online"|nan|39.983748|-83.0158065
Kyoto Japanese steakhouse |Regular Hours|www.kyotojapanesesteakhouse.biz|Dublin|5874 Sawmill road |Columbus Ohio |OH|43017.0|614-792-2500|www.kyotojapanesesteakhouse.biz|Direct Call,Delivery Apps|Direct from Restaurant ,GrubHub,Uber Eats|Carry Out|Yes|Order by 6:00 pm for next day pick up|"Yes, In Person"|Normal fare |40.086897|-83.091292
Liberty Tavern|Limited Hours|http://libertytavernpowell.com/wp-content/uploads/2020/03/Liberty-Temporary-Menu.pdf|Powell|50 S. Liberty St.|Powell|OH|43065.0|614-825-0500|nan|Direct Call|nan|Carry Out|No|nan|"Yes, In Person"|Check our Facebook or website for updated menu.|40.1569301|-83.07476779999999
Little Italy Pizza|Regular Hours|littleitalygroveport.com/menu|Groveport|619 Main St|Groveport|OH|43125.0|6148363056|littleitalygroveport.com|Direct Call,Website|Direct from Restaurant |Curbside,Carry Out|Yes|We accept advance orders up to 7 days in advance. |"Yes, Online","Yes, In Person"|nan|39.8511184|-82.8833463
Mazah Mediterranean Eatery|Regular Hours|http://www.mazah-eatery.com/wp-content/uploads/2018/11/Mazah_CarryOut_Menu_2018.pdf|Grandview|1453 Grandview Avenue |Columbus |OH|43212.0|614-488-3633|www.mazah-eatery.com|Direct Call,Delivery Apps|Direct from Restaurant ,Postmates|Curbside,Carry Out|No|nan|"Yes, Online","Yes, In Person"|Yes|39.9874284|-83.0448219
Mellow Mushroom - New Albany |Limited Hours|www.mellowmushroom.com|New Albany|260 Market Street Suite A|New Albany |OH|43054.0|614-245-4234|www.mellowmushroom.com|Direct Call,Delivery Apps|GrubHub,Door Dash,Uber Eats|Carry Out|No|nan|"Yes, Online","Yes, In Person"|Yes|40.0804424|-82.8140453
Nocterra Brewing Co.|Limited Hours|https://www.nocterrabrewing.com/draftlist.html|Powell|41 Depot Street|Powell|OH|43065.0|614|https://nocterra-brewing-company.myshopify.com/collections/beer-home-delivery|Direct Call,Website|Direct from Restaurant |Carry Out|Yes|Powell residents order by 3pm for same day delivery by 8pm. Next day delivery to people within 15 miles of the brewery. Details at https://nocterrabrewing.com/delivery.html|"Yes, In Person","Yes, Online"|nan|40.1596395|-83.0784786
Olde Towne Tavern |Regular Hours|theoldetownetavern.com|Olde Towne East|889 Oak Street|Columbus |OH|43205.0|6142522955|theoldetowntavern.com|Direct Call,Website|Door Dash|Carry Out|No|nan|"Yes, In Person"|nan|39.9628164|-82.9766382
Pablo's Havana Cafe|Regular Hours|https://www.facebook.com/pabloshavanacafe/?modal=admin_todo_tour|Powell|9685 Sawmill Rd.|Powell|OH|43065.0|614.389.4302|www.pabloshavanacafe.com|Direct Call,Website|Door Dash,GrubHub,Direct from Restaurant |Curbside,Carry Out|nan|nan|"Yes, In Person"|nan|40.1575346|-83.08787
Papa Johns|Regular Hours|https://www.papajohns.com/|Grandview|998 W 5th Ave.|Columbus|OH|43212.0|6144211700|https://www.papajohns.com/|Direct Call,Website,Delivery Apps|Direct from Restaurant ,Postmates,Door Dash,Uber Eats|Carry Out|No|nan|"Yes, In Person"|nan|39.9886439|-83.032844
Pat and Gracie’s Downtown |Limited Hours|www.patandgracies.com|Downtown|340 East Gay St|Columbus |OH|43215.0|614-914-8484|www.patandgracies.com|Direct Call,Delivery Apps,Website|GrubHub,Postmates,Door Dash,Uber Eats|Carry Out|Yes|Please call the restaurant |"Yes, In Person"|nan|39.9649162|-82.9918592
Pecan Penny’s |Limited Hours|pecanpennys.com|Downtown|113 E Main St|Columbus|OH|43205.0|6148260750|pecanpennys.com|Direct Call,Website,Delivery Apps|Direct from Restaurant ,GrubHub,Postmates,Door Dash,Uber Eats|Curbside,Carry Out|Yes|Order by 6pm for next day pickup |"Yes, In Person"|nan|39.95621879999999|-82.99625859999999
Pierogi Mountain |Limited Hours|www.facebook.com/PierogiMountain|University District/Old North|2216 Summit St|Columbus|OH|43201.0|6144202175|www.facebook.com/PierogiMountain|Direct Call,Delivery Apps|GrubHub,Postmates,Uber Eats|Carry Out|Yes|We are accepting future orders for bulk pierogi that you can take home and cook at your leisure! They freeze well and we provide simple cooking instructions. Please contact us through Facebook or at pierogimountain@gmail.com for bulk orders, all other orders can be placed through our delivery apps or by calling the kitchen during business hours.|No|nan|40.0086111|-83.00027779999999
Pierogi Mountain German Village|Limited Hours|www.facebook.com/PierogiMountain|German/Merion Village|739 S 3rd St|Columbus|OH|43206.0|6144202304|www.facebook.com/PierogiMountain|Delivery Apps,Direct Call|GrubHub,Postmates,Uber Eats|Carry Out|No|nan|No|nan|39.9472158|-82.9952808
Planks Bier Garten|Limited Hours|https://planksbeergarden.com/|German/Merion Village|888 S. High St|Columbus|OH|43206.0|614-443-4570|https://planksbeergarden.com/|Direct Call|Direct from Restaurant |Curbside,Carry Out|nan|nan|"Yes, In Person"|Yes|39.9440538|-82.9968131
R Bar Arena |Limited Hours|www.rbararena.com|Arena District|413 N Front St|Columbus|OH|43215.0|614-222-4950|www.rbararena.com|Delivery Apps,Website,Direct Call|Direct from Restaurant ,Uber Eats|Carry Out|Yes|You may order online and select a time for pick up, our current operating hours are Monday - Friday 11am-2pm then 6pm-9pm, if demand increases we will increase hours of operation. We also offer beer and wine carry out.|"Yes, Online","Yes, In Person"|nan|39.97066|-83.004553
Red chili|Regular Hours|www.myredchili1948.com|University District/Old North|1948 north high st |Columbus|OH|43229.0|6142991001|www.myredchili1948.com|Delivery Apps,Direct Call,Website|GrubHub,Postmates,Door Dash,Uber Eats|Carry Out|No|nan|"Yes, In Person"|Yes|40.0020852|-83.008252
Restaurant Silla-Authentic Korean & Japanese Cuisine|Limited Hours|http://www.restaurantsilla.com/our-menu.html|Northwest Columbus|1802 W Henderson Rd|Columbus|OH|43220.0|6144595990|http://www.restaurantsilla.com/|Direct Call,Email|nan|Carry Out|Yes|Order by 9pm for next day pickup Delivery only availabe if it is more than $100 |No|nan|40.0560298|-83.0676538
Ritzy’s - Columbus|Regular Hours|www.gdritzyscolumbus.com|Clintonville|4615 N High Street|Columbus|OH|43214.0|(614) 754-8960|www.gdritzyscolumbus.com|Delivery Apps,Direct Call|GrubHub,Door Dash|Carry Out,Curbside|Yes|We will accept any and all orders|"Yes, In Person"|nan|40.0565205|-83.0201295
Rosevelt Coffeehouse |Temporarily Closed|rooseveltcoffee.org|Downtown|300 E Long St|Columbus|OH|43215.0|(614) 670-5228|rooseveltcoffee.org|Website|Door Dash|None|No|nan|"Yes, Online"|nan|39.9661854|-82.9931367
Skillet|Regular Hours|https://www.skilletruf.net/brunch-menu|German/Merion Village|410 E Whittier St|Columbus|OH|43206.0|614-443-2266|www.skilletruf.net|Direct Call|Direct from Restaurant |Carry Out|No|nan|"Yes, Online"|Offering our daily changing menu of brunch centric items.|39.9444671|-82.9859414
Sushi Factory|Regular Hours|nan|Polaris Area|8715 Sancus Blvd.|Columbus |OH|43240.0|(614)505-6060|nan|Direct Call|nan|Carry Out|Yes|nan|No|We are a brand new family-owned restaurant affected by the COVID-19. We do not have any delivery options as we are so new but we hope to see get take-out!|40.1420897|-82.99212969999999
SUSHI KO JAPANESE RESTAURANT|Limited Hours|http://www.sushi-ko.net/|Worthington|122 Hutchinson Ave|Columbus|OH|43235.0|614-985-6441|http://www.sushi-ko.net/|Direct Call|nan|Carry Out,Curbside|Yes|Order by end of day, for next day pickup.|"Yes, In Person"|nan|40.1147279|-83.01116909999999
Tamo’s Pizzeria |Regular Hours|https://tamospizzeria.com/menu|Grandview|1333 Northwest Blvd|Grandview Heights|OH|43212.0|614-706-4422|https://tamospizzeria.com/|Delivery Apps,Direct Call|Door Dash,Uber Eats|Carry Out|No|nan|No|nan|39.9852969|-83.0403972
The Barn|Limited Hours|https://thebarncolumbus.com/|Gahanna,New Albany|1370 E. Johnstown Rd. |Gahanna|OH|43230.0|6148559840|https://www.facebook.com/CMRColumbus/photos/a.429295536545/10156975128366546/?type=3&theater|Direct Call|nan|Curbside|nan|nan|"Yes, Online"|Yes|40.0532125|-82.84257319999999
The Berwick|Limited Hours|www.the-berwick.com|nan|3250 REFUGEE RD|COLUMBUS|OH|432324898.0|6142357100|www.the-berwick.com|Direct Call,Delivery Apps,Email,Website|GrubHub,Direct from Restaurant |Curbside,Carry Out|Yes|Restaurant - place orders 20 minutes in advance. Catering - Place order three hours in advance.|"Yes, In Person"|Restaurant - Special Menu Catering - Special Pick-up and Delivery Menu with Family Meals, Individual Boxed Meals and Food by the Pan.|39.9181561|-82.9151203
The Cheesecake Factory |Regular Hours|https://www.thecheesecakefactory.com/media/menus/TCF_TakeOut_Columbus_0220.pdf|Easton Area|3975 Townsfair Way|Columbus|OH|43219.0|614-418-7600|nan|Direct Call,Website,Delivery Apps|Direct from Restaurant ,Door Dash|nan|nan|nan|"Yes, Online","Yes, In Person"|nan|40.0486779|-82.91565609999999
The Crest Gastropub - Clintonville|Limited Hours|https://www.thecrestgastropub.com/clintonville-menu|Clintonville|2855 Indianola Ave|Columbus|OH|43202.0|(614) 261 7128|https://www.thecrestgastropub.com/|Direct Call,Delivery Apps|Direct from Restaurant ,Uber Eats|Curbside,Carry Out|Yes|Call us and let us know when you need it ready. Website ordering coming as soon as we can pull it together.|"Yes, In Person"|Yes|40.0218429|-83.0022659
The Crest Gastropub - Parsons Ave|Limited Hours|https://www.thecrestgastropub.com/parsons-menu|German/Merion Village|621 Parsons Avenue,| Columbus |OH|43206.0|(614) 682-7090|https://www.thecrestgastropub.com/|Direct Call,Delivery Apps|Direct from Restaurant ,GrubHub,Uber Eats|Curbside,Carry Out|Yes|Give us a call and tell us when you want to pick it up.|"Yes, In Person"|Yes|39.951152|-82.982748
The Daily Growler - German Village/Brewery District|Limited Hours|https://www.thedailygrowler.com/gvbd-beers/|German/Merion Village|702 S. High Street|Columbus|OH|43206.0|614-706-2749|https://www.thedailygrowler.com/gvbd-beers/|Email|Direct from Restaurant |Carry Out|Yes|Orders by 5:00 p.m. for same day delivery. Future day orders accepted. |"Yes, Online","Yes, In Person"|nan|39.9477522|-82.99754779999999
The Daily Growler - Powell|Limited Hours| https://www.thedailygrowler.com/powell-beers/|Powell|258 W. Olentangy St. |Powell|OH|43065.0|614-987-8277| https://www.thedailygrowler.com/powell-beers/|Email|Direct from Restaurant |Carry Out|Yes|Orders by 5:00 p.m. for same day delivery. Future day orders accepted.|"Yes, Online","Yes, In Person"|nan|40.15898990000001|-83.08362799999999
The Daily Growler - Upper Arlington|Limited Hours|https://www.thedailygrowler.com/ua-beers/|Upper Arlington|2812 Fishinger Rd|Upper Arlington|OH|43221.0|614-656-2337|https://www.thedailygrowler.com/ua-beers/|Email|Direct from Restaurant |Carry Out|Yes|Orders by 5:00 p.m. for same day delivery. Future day orders accepted. |"Yes, Online","Yes, In Person"|nan|40.03073000000001|-83.0910351
The Kitchen|Limited Hours|https://www.thekitchencolumbus.com/tacos-to-go|German/Merion Village|231 E. Livingston Ave|Columbus|OH|43215.0|6142258940|thekitchencolumbus.com|Website|nan|Curbside,Carry Out|No|nan|"Yes, Online","Yes, In Person"|nan|39.9525005|-82.99227429999999
The lox bagel shop|Regular Hours|theloxbagelshop.com|Short North/Italian Village|772 N High St suite 106|Columbus|OH|43215.0|614|theloxbagelshop.com|Website,Direct Call,Delivery Apps,Email|Door Dash,Direct from Restaurant |Carry Out|Yes|Catering menu fully available |"Yes, In Person"|Yes|39.97822060000001|-83.0032779
The Market Italian Village|Limited Hours|https://www.themarketiv.com/evening|Short North/Italian Village|1022 Summit|Columbus|OH|43201.0|6149482527|https://www.themarketiv.com/|Direct Call,Delivery Apps|Direct from Restaurant ,GrubHub,Uber Eats|Curbside,Carry Out|Yes|Give us a call and let us know when you'd like to pick it up.|"Yes, In Person"|Yes|39.9836108|-83.00116849999999
The Original Pancake House|Regular Hours|ophcentralohio.com|Upper Arlington|1633 W. Lane ave|Upper Arlington|OH|43221.0|614-695-6810|ophcentralohio.com|Direct Call,Website,Delivery Apps|Direct from Restaurant ,Uber Eats|Carry Out|No|nan|"Yes, In Person"|nan|40.0065039|-83.05390709999999
The Roosevelt Coffeehouse|Temporarily Closed|www.roosevelt.coffee|Downtown|300 E. Long Street|Columbus|OH|43215.0|6145717554|www.roosevelt.coffee|Website|nan|None|Yes|Ship within two days.|"Yes, Online"|nan|39.9661854|-82.9931367
