Name,Status,Menu,District,Street Address,City,Zip,Phone Number,Website,How To Order,Delivery Options,Pickup Options,Accepting Future Orders,"If Accepting Future Orders, provide details",Selling Gift Cards?,Limited or special menu?
Fourth St Bar & Grill,Limited Hours,https://www.fourthstreetcolumbus.com/,University District/Old North,1810 N 4th St,Columbus,43201,614-974-6555,https://www.fourthstreetcolumbus.com/,"Direct Call,Delivery Apps","Direct from Restaurant ,GrubHub,Uber Eats","Curbside,Carry Out",Yes,Call us and let us know when you want to pick it up.,"""Yes, In Person""",checked
Olde Towne Tavern ,Regular Hours,theoldetownetavern.com,Olde Towne East,889 Oak Street,Columbus ,43205,6142522955,theoldetowntavern.com,"Direct Call,Website",Door Dash,Carry Out,No,,"""Yes, In Person""",
Community Grounds,Regular Hours,http://mycommunitygrounds.com/menu/,German/Merion Village,1134 Parsons Ave,Columbus,43206,6147250124,http://mycommunitygrounds.com,Delivery Apps,Direct from Restaurant ,Carry Out,Yes,Use the Cloosiv app to order ahead. $3 off first order.,"""Yes, Online"",""Yes, In Person""",
Bruno's Pizza & Pasta,Regular Hours,-,Northside,1774 E. Dublin-Granville Rd.,Columbus ,43229,614-891-0631,no,Direct Call,Direct from Restaurant ,Carry Out,No,,"""Yes, In Person""",
Choripan Argentine Grill,Regular Hours,www.choripan.co,Dublin,5927 Karric Square Dr.,Dublin,43016,614-467-9288,www.choripan.co,"Direct Call,Website,Delivery Apps","Direct from Restaurant ,GrubHub,Postmates,Uber Eats","Curbside,Carry Out",Yes,Order by 6 pm for next day pick up. ,"""Yes, In Person"",""Yes, Online""",
City Tavern,Limited Hours,www.citytaverncolumbus.com/menu,Short North/Italian Village,697 N 4th St,Columbus,43215,6148262348,www.citytaverncolumbus.com,"Direct Call,Delivery Apps","Direct from Restaurant ,GrubHub,Uber Eats","Curbside,Carry Out",No,,"""Yes, In Person""",
Flatiron Tavern,Limited Hours,www.flatirontavern.com/menu,Arena District,129 E Nationwide Blvd,Columbus,43215,6145250091,www.flatirontavern.com,"Direct Call,Delivery Apps","Direct from Restaurant ,GrubHub,Uber Eats","Curbside,Carry Out",No,,"""Yes, In Person""",
Yellow Brick Pizza - Olde Towne East,Limited Hours,http://www.yellowbrickpizza.com/dinner.php,Olde Towne East,892 Oak St. ,Columbus ,43205,6147255482,www.yellowbrickpizza.com,"Direct Call,Delivery Apps","GrubHub,Door Dash,Uber Eats","Curbside,Carry Out",Yes,up to 24 hours in advance. future orders are prepaid only. ,"""Yes, In Person""",
The Original Pancake House,Regular Hours,ophcentralohio.com,Upper Arlington,1633 W. Lane ave,Upper Arlington,43221,614-695-6810,ophcentralohio.com,"Direct Call,Website,Delivery Apps","Direct from Restaurant ,Uber Eats",Carry Out,No,,"""Yes, In Person""",
Cuzn'z Bar & Grill,Limited Hours,Like our page on FB,Pataskala,12897 C National Rd,Pataskala ,43062,7409633331,Cuznzbarandgrill.com,Direct Call,Direct from Restaurant ,Carry Out,Yes,,"""Yes, In Person""",
Yellow Brick Pizza - Dennison Place,Limited Hours,http://www.yellowbrickpizza.com/dinner.php,Short North/Italian Village,245 King Ave,Columbus,43201,6144290750,www.yellowbrickpizza.com,"Direct Call,Delivery Apps","GrubHub,Door Dash,Uber Eats","Curbside,Carry Out",Yes,up to 24 hours in advance. future orders must be prepaid. ,"""Yes, In Person""",
Grandview Cafe,Limited Hours,https://www.bargrandview.com/menu/,Grandview,1455 W 3rd Ave ,Columbus ,43212,614-725-1077,https://www.bargrandview.com/,"Direct Call,Delivery Apps","Uber Eats,Postmates","Curbside,Carry Out",No,,"""Yes, In Person""",
Balboa,Limited Hours,https://www.balboamexicanrestaurant.com/menu/,Grandview,1312 Grandview Ave,Columbus,43212,6147451201,https://www.balboamexicanrestaurant.com/,"Direct Call,Delivery Apps","Postmates,Uber Eats","Curbside,Carry Out",No,,"""Yes, In Person""",
Hadley’s Bar and Kitchen,Limited Hours,http://www.hadleysbar.com/lunchdinner,Downtown,260 S 4th st. ,Columbus,43215,614-222-3022,http://www.hadleysbar.com/,"Direct Call,Delivery Apps","Postmates,Uber Eats","Curbside,Carry Out",No,,"""Yes, In Person""",
The Walrus,Limited Hours,thewalruscolumbus.com,Downtown,143 E Main St,Columbus,43215,614.817.1710,thewalruscolumbus.com,"Direct Call,Delivery Apps","Direct from Restaurant ,Uber Eats",Carry Out,Yes,Please call by 3pm for next day pickup ,"""Yes, In Person""",
Dirty Frank's Hot Dog Palace,Limited Hours,https://www.instagram.com/p/B9zEkqiA-y0/?igshid=o2jh2y73gtsh,Downtown,248 S. 4th St.,Columbus,43215,6148244673,www.dirtyfranks.com,Direct Call,Direct from Restaurant ,Carry Out,Yes,,"""Yes, Online"",""Yes, In Person""",checked
Cova Cowork & Bottoms Up Coffee,Temporarily Closed,https://www.instagram.com/bottomsupcoffee/,Franklinton,1069 W Broad Street,Columbus,43222,+614-706-2443,https://www.bottomsupcoffee.com/,Website,GrubHub,Curbside,Yes,"Our cafe is closed for the time being and we unfortunately are not equip to do take-out as an option. We do, however have gift cards and merch available for purchase through our website. 

NOTE: 
While we are available on GrubHub normally, for now we have discontinued that feature. 
Also, curbside is NOT available, but I was required to click one option to submit.  ","""Yes, Online""",checked
Bonifacio: Modern Filipino,Limited Hours,www.bonifacio614.com,Upper Arlington,1577 King Ave,Columbus,43212,614-914-8115,www.bonifacio614.com,"Direct Call,Website","Direct from Restaurant ,Door Dash","Curbside,Carry Out",Yes,Our online delivery system allows you to create future orders.,"""Yes, Online""",checked
Amano’s ,Limited Hours,https://www.toasttab.com/amanos-220-worthington-mall/v2/online-order,Worthington,220 Worthington Mall,Worthington ,43085,614-430-8000,http://amanosworthington.com/,"Direct Call,Website,Delivery Apps","Direct from Restaurant ,GrubHub,Door Dash,Uber Eats","Curbside,Carry Out",Yes,,"""Yes, In Person"",""Yes, Online""",
Pierogi Mountain ,Limited Hours,www.facebook.com/PierogiMountain,University District/Old North,2216 Summit St,Columbus,43201,6144202175,www.facebook.com/PierogiMountain,"Direct Call,Delivery Apps","GrubHub,Postmates,Uber Eats",Carry Out,Yes,"We are accepting future orders for bulk pierogi that you can take home and cook at your leisure! They freeze well and we provide simple cooking instructions. Please contact us through Facebook or at pierogimountain@gmail.com for bulk orders, all other orders can be placed through our delivery apps or by calling the kitchen during business hours.",No,
City Barbeque ,Regular Hours,https://order.citybbq.com,New Albany,6280 e dublin granville rd. ,new albany ,43054,6142459293,www.citybbq.com,"Direct Call,Website,Delivery Apps","Direct from Restaurant ,GrubHub,Door Dash","Curbside,Carry Out",Yes,,"""Yes, Online"",""Yes, In Person""",
Little Italy Pizza,Regular Hours,littleitalygroveport.com/menu,Groveport,619 Main St,Groveport,43125,6148363056,littleitalygroveport.com,"Direct Call,Website",Direct from Restaurant ,"Curbside,Carry Out",Yes,We accept advance orders up to 7 days in advance. ,"""Yes, Online"",""Yes, In Person""",
Mazah Mediterranean Eatery,Regular Hours,http://www.mazah-eatery.com/wp-content/uploads/2018/11/Mazah_CarryOut_Menu_2018.pdf,Grandview,1453 Grandview Avenue ,Columbus ,43212,614-488-3633,www.mazah-eatery.com,"Direct Call,Delivery Apps","Direct from Restaurant ,Postmates","Curbside,Carry Out",No,,"""Yes, Online"",""Yes, In Person""",checked
District north ,Limited Hours,www.district-north.com,Downtown,10 E long street ,Columbus ,43215,6145574681,,"Website,Delivery Apps","Direct from Restaurant ,GrubHub,Postmates,Door Dash,Uber Eats,Seamless",Carry Out,Yes,,No,checked
Valters at the Maennerchor,Temporarily Closed,https://www.gofundme.com/f/help-valters-staff,German/Merion Village,976 S High St,Columbus,43206,(614) 444-3531,,,,,,,,
Jimmy V’s Grill & Pub Westerville,Regular Hours,https://jimmyvswesterville.com/menu/,Westerville,1 South State Street,Westerville ,43081,614-865-9090,www.jimmyvswesterville.com,"Direct Call,Delivery Apps","Direct from Restaurant ,Door Dash,Uber Eats","Curbside,Carry Out",Yes,Feel free to place your order in advance by calling us at 614-865-9090 between 11am and 9pm!,"""Yes, In Person""",
Uptown Deli and Brew,Limited Hours,http://www.uptowndeliandbrew.com,Westerville,41 N State St,Westerville ,43081,614-891-2337,http://www.uptowndeliandbrew.com,"Direct Call,Email",,"Carry Out,Curbside",Yes,"Restaurant is available for carry out, growler sales and deli counter from 11a-8p daily. 

We are also a local brewery and have a retail deli case for meats, cheeses, bread and more. 

For any larger orders or catering orders please email catering@uptowndeliandbrew.com 

Delivery may be available for these large orders! ","""Yes, In Person""",
The Barn,Limited Hours,https://thebarncolumbus.com/,"Gahanna,New Albany",1370 E. Johnstown Rd. ,Gahanna,43230,6148559840,https://www.facebook.com/CMRColumbus/photos/a.429295536545/10156975128366546/?type=3&theater,Direct Call,,Curbside,,,"""Yes, Online""",checked
Cap City Grandview,Limited Hours,https://capcityfinediner.com/locations-menus/,Grandview,1299 Olentangy River Road ,Columbus,43212,614.291.3663,,Direct Call,,Curbside,,,"""Yes, Online""",checked
Firehouse Subs of South Gahanna,Regular Hours,https://www.firehousesubs.com/locations/oh/south-gahanna/,Gahanna,406 Granville St,Gahanna,43230,614-269-8600,,"Direct Call,Website,Delivery Apps","GrubHub,Postmates,Door Dash,Uber Eats",Carry Out,Yes,,"""Yes, In Person""",
Chuy’s ,Limited Hours,,,4154 Seward street,Columbus,43219,614-498-0285,,"Direct Call,Website,Delivery Apps","Direct from Restaurant ,Door Dash,Postmates","Curbside,Carry Out",Yes,,"""Yes, In Person""",checked
Firehouse Subs of Pickerington,Regular Hours,https://www.firehousesubs.com/locations/oh/pickerington/,,152 Clint Drive,Pickerington,43147,614-892-7020,,"Direct Call,Website,Delivery Apps","GrubHub,Postmates,Door Dash,Uber Eats",Carry Out,Yes,,"""Yes, In Person""",
Firehouse Subs of Grandview,Regular Hours,https://www.firehousesubs.com/locations/oh/grandview/,,955 West Fifth Avenue,Columbus,43212,614-298-1324,,"Direct Call,Website,Delivery Apps","GrubHub,Postmates,Door Dash,Uber Eats",Carry Out,Yes,,"""Yes, In Person""",
R Bar Arena ,Limited Hours,www.rbararena.com,,413 N Front St,Columbus,43215,614-222-4950,www.rbararena.com,"Delivery Apps,Website,Direct Call","Direct from Restaurant ,Uber Eats",Carry Out,Yes,"You may order online and select a time for pick up, our current operating hours are Monday - Friday 11am-2pm then 6pm-9pm, if demand increases we will increase hours of operation. We also offer beer and wine carry out.","""Yes, Online"",""Yes, In Person""",
Pierogi Mountain German Village,Limited Hours,www.facebook.com/PierogiMountain,,739 S 3rd St,Columbus,43206,6144202304,www.facebook.com/PierogiMountain,"Delivery Apps,Direct Call","GrubHub,Postmates,Uber Eats",Carry Out,No,,No,
Hoggy's Restaurant and Catering,Regular Hours,https://direct.chownow.com/order/8391/locations,,830 Bethel Road,Columbus,43214,6144421800,hoggys.com,"Direct Call,Website,Delivery Apps,Email","Direct from Restaurant ,Postmates,Door Dash","Curbside,Carry Out",Yes,Accepting any and all orders.,"""Yes, In Person""",
