Name,Status,Hours of Operation,Menu,District,Street Address,City,Zip,Phone Number,Website,How To Order,Order via Email Address,Delivery Options,Pickup Options,Accepting Future Orders,"If Accepting Future Orders, provide details",Selling Gift Cards?,Limited or special menu?
Jimmy John's Maxtown,Limited Hours,10:30am to 3pm,https://www.jimmyjohns.com/,Westerville,5803 Maxtown Rd,Westerville,43082,(614) 891-5000,https://www.jimmyjohns.com/,"Website,Direct Call",,Direct from Restaurant ,Carry Out,Yes,Order last minute or for any future date!,"""Yes, In Person"",""Yes, Online""",
Jimmy John's New Albany,Limited Hours,,https://www.jimmyjohns.com/menu/#/,New Albany, 5183 Hampsted Village Center Way,New Albany,43054,(614) 933-0200,https://www.jimmyjohns.com/,"Direct Call,Website",,Direct from Restaurant ,Carry Out,Yes,We take all last minute orders or as far in advance as you like,"""Yes, In Person"",""Yes, Online""",
Jimmy John's Shrock Rd,Limited Hours,10:30-3pm,https://www.jimmyjohns.com/menu/#/,Westerville,"576 W Schrock Rd, Westerville, OH 43081",Westerville,43081,(614) 818-1800,https://www.jimmyjohns.com/,"Direct Call,Website",,Direct from Restaurant ,Carry Out,Yes,Order ahead for last minute orders or any future date!,"""Yes, Online"",""Yes, In Person""",
Jimmy V’s Grill & Pub Westerville,Regular Hours,,https://jimmyvswesterville.com/menu/,Westerville,1 South State Street,Westerville ,43081,614-865-9090,www.jimmyvswesterville.com,"Direct Call,Delivery Apps",,"Direct from Restaurant ,Door Dash,Uber Eats","Curbside,Carry Out",Yes,Feel free to place your order in advance by calling us at 614-865-9090 between 11am and 9pm!,"""Yes, In Person""",
Katalina's - Clintonville,Regular Hours,Daily 8:00 - 3:00,https://2337acfb-aaaa-41cb-b83d-df889859d772.filesusr.com/ugd/f8a30a_b61ca493c54f488ea5d53394b0081f97.pdf,Clintonville,3481 N High St,Columbus,43214,614.689.8896,https://www.katalinas.com/,Direct Call,,Direct from Restaurant ,"Curbside,Carry Out",No,,"""Yes, Online""",
Katalina's - Harrison West,Regular Hours,Daily 8:00 - 3:00,https://2337acfb-aaaa-41cb-b83d-df889859d772.usrfiles.com/ugd/f8a30a_65c8a8c426c843999ba6850f3dd54b44.pdf,Short North/Italian Village,1105 Pennsylvania Ave,Columbus,43201,614-294-2233,https://www.katalinas.com/,Direct Call,,Direct from Restaurant ,"Curbside,Carry Out",No,,"""Yes, Online""",
Kyoto Japanese steakhouse ,Regular Hours,11:30 am To 8:30 pm,www.kyotojapanesesteakhouse.biz,Dublin,5874 Sawmill road ,Columbus Ohio ,43017,614-792-2500,www.kyotojapanesesteakhouse.biz,"Direct Call,Delivery Apps",,"Direct from Restaurant ,GrubHub,Uber Eats",Carry Out,Yes,Order by 6:00 pm for next day pick up,"""Yes, In Person""",Normal fare 
Liberty Tavern,Limited Hours,Daily 12:00-8:00,http://libertytavernpowell.com/wp-content/uploads/2020/03/Liberty-Temporary-Menu.pdf,Powell,50 S. Liberty St.,Powell,43065,614-825-0500,,Direct Call,,,Carry Out,No,,"""Yes, In Person""",Check our Facebook or website for updated menu.
Little Italy Pizza,Regular Hours,,littleitalygroveport.com/menu,Groveport,619 Main St,Groveport,43125,6148363056,littleitalygroveport.com,"Direct Call,Website",,Direct from Restaurant ,"Curbside,Carry Out",Yes,We accept advance orders up to 7 days in advance. ,"""Yes, Online"",""Yes, In Person""",
Mazah Mediterranean Eatery,Regular Hours,,http://www.mazah-eatery.com/wp-content/uploads/2018/11/Mazah_CarryOut_Menu_2018.pdf,Grandview,1453 Grandview Avenue ,Columbus ,43212,614-488-3633,www.mazah-eatery.com,"Direct Call,Delivery Apps",,"Direct from Restaurant ,Postmates","Curbside,Carry Out",No,,"""Yes, Online"",""Yes, In Person""",Yes
Mellow Mushroom - New Albany ,Limited Hours,,www.mellowmushroom.com,New Albany,260 Market Street Suite A,New Albany ,43054,614-245-4234,www.mellowmushroom.com,"Direct Call,Delivery Apps",,"GrubHub,Door Dash,Uber Eats",Carry Out,No,,"""Yes, Online"",""Yes, In Person""","Yes
"
Nocterra Brewing Co.,Limited Hours,10A-8P,https://www.nocterrabrewing.com/draftlist.html,Powell,41 Depot Street,Powell,43065,614,https://nocterra-brewing-company.myshopify.com/collections/beer-home-delivery,"Direct Call,Website",,Direct from Restaurant ,Carry Out,Yes,"Powell residents order by 3pm for same day delivery by 8pm.
Next day delivery to people within 15 miles of the brewery.
Details at https://nocterrabrewing.com/delivery.html","""Yes, In Person"",""Yes, Online""",
Olde Towne Tavern ,Regular Hours,,theoldetownetavern.com,Olde Towne East,889 Oak Street,Columbus ,43205,6142522955,theoldetowntavern.com,"Direct Call,Website",,Door Dash,Carry Out,No,,"""Yes, In Person""",
Pablo's Havana Cafe,Regular Hours,"Mon - Sat, 9am - 8pm; Sun 11am - 5pm",https://www.facebook.com/pabloshavanacafe/?modal=admin_todo_tour,Powell,9685 Sawmill Rd.,Powell,43065,614.389.4302,www.pabloshavanacafe.com,"Direct Call,Website",https://pabloshavanacafe.smartonlineorder.com/,"Door Dash,GrubHub,Direct from Restaurant ","Curbside,Carry Out",,,"""Yes, In Person""",
Papa Johns,Regular Hours,,https://www.papajohns.com/,Grandview,998 W 5th Ave.,Columbus,43212,6144211700,https://www.papajohns.com/,"Direct Call,Website,Delivery Apps",,"Direct from Restaurant ,Postmates,Door Dash,Uber Eats",Carry Out,No,,"""Yes, In Person""",
Pat and Gracie’s Downtown ,Limited Hours,,www.patandgracies.com,Downtown,340 East Gay St,Columbus ,43215,614-914-8484,www.patandgracies.com,"Direct Call,Delivery Apps,Website",,"GrubHub,Postmates,Door Dash,Uber Eats",Carry Out,Yes,Please call the restaurant ,"""Yes, In Person""",
Pecan Penny’s ,Limited Hours,,pecanpennys.com,Downtown,113 E Main St,Columbus,43205,6148260750,pecanpennys.com,"Direct Call,Website,Delivery Apps",,"Direct from Restaurant ,GrubHub,Postmates,Door Dash,Uber Eats","Curbside,Carry Out",Yes,Order by 6pm for next day pickup ,"""Yes, In Person""",
Pierogi Mountain ,Limited Hours,,www.facebook.com/PierogiMountain,University District/Old North,2216 Summit St,Columbus,43201,6144202175,www.facebook.com/PierogiMountain,"Direct Call,Delivery Apps",,"GrubHub,Postmates,Uber Eats",Carry Out,Yes,"We are accepting future orders for bulk pierogi that you can take home and cook at your leisure! They freeze well and we provide simple cooking instructions. Please contact us through Facebook or at pierogimountain@gmail.com for bulk orders, all other orders can be placed through our delivery apps or by calling the kitchen during business hours.",No,
Pierogi Mountain German Village,Limited Hours,,www.facebook.com/PierogiMountain,German/Merion Village,739 S 3rd St,Columbus,43206,6144202304,www.facebook.com/PierogiMountain,"Delivery Apps,Direct Call",,"GrubHub,Postmates,Uber Eats",Carry Out,No,,No,
Planks Bier Garten,Limited Hours,"Monday-Thursday: 11am-2pm & 5pm-9pm
Fri-Sat-Sunday: 11am-9pm",https://planksbeergarden.com/,German/Merion Village,888 S. High St,Columbus,43206,614-443-4570,https://planksbeergarden.com/,Direct Call,,Direct from Restaurant ,"Curbside,Carry Out",,,"""Yes, In Person""",Yes
R Bar Arena ,Limited Hours,,www.rbararena.com,Arena District,413 N Front St,Columbus,43215,614-222-4950,www.rbararena.com,"Delivery Apps,Website,Direct Call",,"Direct from Restaurant ,Uber Eats",Carry Out,Yes,"You may order online and select a time for pick up, our current operating hours are Monday - Friday 11am-2pm then 6pm-9pm, if demand increases we will increase hours of operation. We also offer beer and wine carry out.","""Yes, Online"",""Yes, In Person""",
Red chili,Regular Hours,10:30-9:30,www.myredchili1948.com,University District/Old North,1948 north high st ,Columbus,43229,6142991001,www.myredchili1948.com,"Delivery Apps,Direct Call,Website",,"GrubHub,Postmates,Door Dash,Uber Eats",Carry Out,No,,"""Yes, In Person""",Yes
Restaurant Silla-Authentic Korean & Japanese Cuisine,Limited Hours,Tuesday thru Sunday From 4pm to Midnight,http://www.restaurantsilla.com/our-menu.html,Northwest Columbus,1802 W Henderson Rd,Columbus,43220,6144595990,http://www.restaurantsilla.com/,"Direct Call,Email",restaurantsilla@gmail.com,,Carry Out,Yes,"Order by 9pm for next day pickup
Delivery only availabe if it is more than $100 ",No,
Ritzy’s - Columbus,Regular Hours,"Sunday - Thursday 11:00am - 9:00pm
Friday - Saturday 11:00am - 10:00pm",www.gdritzyscolumbus.com,Clintonville,4615 N High Street,Columbus,43214,(614) 754-8960,www.gdritzyscolumbus.com,"Delivery Apps,Direct Call",,"GrubHub,Door Dash","Carry Out,Curbside",Yes,We will accept any and all orders,"""Yes, In Person""",
Rosevelt Coffeehouse ,Temporarily Closed,,rooseveltcoffee.org,Downtown,300 E Long St,Columbus,43215,(614) 670-5228,rooseveltcoffee.org,Website,,Door Dash,None,No,,"""Yes, Online""",
Skillet,Regular Hours,8am - 2pm Wednesday through Sunday,https://www.skilletruf.net/brunch-menu,German/Merion Village,410 E Whittier St,Columbus,43206,614-443-2266,www.skilletruf.net,Direct Call,,Direct from Restaurant ,Carry Out,No,,"""Yes, Online""",Offering our daily changing menu of brunch centric items.
Sushi Factory,Regular Hours,"Mon-Thu: 1130am to 10pm
Fri-Sat: 1130am to 1030pm
Sun: 12pm to 9pm",,Polaris Area,8715 Sancus Blvd.,Columbus ,43240,(614)505-6060,,Direct Call,,,Carry Out,Yes,,No,We are a brand new family-owned restaurant affected by the COVID-19. We do not have any delivery options as we are so new but we hope to see get take-out!
SUSHI KO JAPANESE RESTAURANT,Limited Hours,"MON-SAT  11:am-2:30pm, 4:30pm-8:30pm
SUN 4:30pm-8:30pm",http://www.sushi-ko.net/,Worthington,122 Hutchinson Ave,Columbus,43235,614-985-6441,http://www.sushi-ko.net/,Direct Call,,,"Carry Out,Curbside",Yes,"Order by end of day, for next day pickup.","""Yes, In Person""",
Tamo’s Pizzeria ,Regular Hours,"Mon-Thurs: 11AM-10PM
Fri-Sat: 11AM-12AM
Sun:12PM-9PM",https://tamospizzeria.com/menu,Grandview,1333 Northwest Blvd,Grandview Heights,43212,614-706-4422,https://tamospizzeria.com/,"Delivery Apps,Direct Call",,"Door Dash,Uber Eats",Carry Out,No,,No,
The Barn,Limited Hours,,https://thebarncolumbus.com/,"Gahanna,New Albany",1370 E. Johnstown Rd. ,Gahanna,43230,6148559840,https://www.facebook.com/CMRColumbus/photos/a.429295536545/10156975128366546/?type=3&theater,Direct Call,,,Curbside,,,"""Yes, Online""",Yes
The Berwick,Limited Hours,"Restaurant - Monday through Friday
11:30am to 2:30pm

Catering - Pickup & Delivery
Monday through Friday - 10am to 6pm
Saturday - Noon to 5pm",www.the-berwick.com,,3250 REFUGEE RD,COLUMBUS,432324898,6142357100,www.the-berwick.com,"Direct Call,Delivery Apps,Email,Website",susifamily@the-berwick.com,"GrubHub,Direct from Restaurant ","Curbside,Carry Out",Yes,"Restaurant - place orders 20 minutes in advance.
Catering - Place order three hours in advance.","""Yes, In Person""","Restaurant - Special Menu
Catering - Special Pick-up and Delivery Menu with Family Meals, Individual Boxed Meals and Food by the Pan."
The Cheesecake Factory ,Regular Hours,M-Th 11am-10pm Fri 11am-11pm Sat 10am-11pm Sun 10am-9pm,https://www.thecheesecakefactory.com/media/menus/TCF_TakeOut_Columbus_0220.pdf,Easton Area,3975 Townsfair Way,Columbus,43219,614-418-7600,,"Direct Call,Website,Delivery Apps",,"Direct from Restaurant ,Door Dash",,,,"""Yes, Online"",""Yes, In Person""",
The Crest Gastropub - Clintonville,Limited Hours,,https://www.thecrestgastropub.com/clintonville-menu,Clintonville,2855 Indianola Ave,Columbus,43202,(614) 261 7128,https://www.thecrestgastropub.com/,"Direct Call,Delivery Apps",,"Direct from Restaurant ,Uber Eats","Curbside,Carry Out",Yes,"Call us and let us know when you need it ready.
Website ordering coming as soon as we can pull it together.","""Yes, In Person""",Yes
The Crest Gastropub - Parsons Ave,Limited Hours,,https://www.thecrestgastropub.com/parsons-menu,German/Merion Village,"621 Parsons Avenue,", Columbus ,43206,(614) 682-7090,https://www.thecrestgastropub.com/,"Direct Call,Delivery Apps",,"Direct from Restaurant ,GrubHub,Uber Eats","Curbside,Carry Out",Yes,Give us a call and tell us when you want to pick it up.,"""Yes, In Person""","Yes
"
The Daily Growler - German Village/Brewery District,Limited Hours,Noon to 8:00 p.m. subjec to change,https://www.thedailygrowler.com/gvbd-beers/,German/Merion Village,702 S. High Street,Columbus,43206,614-706-2749,https://www.thedailygrowler.com/gvbd-beers/,Email,info@thedailygrowler.com,Direct from Restaurant ,Carry Out,Yes,"Orders by 5:00 p.m. for same day delivery.
Future day orders accepted. ","""Yes, Online"",""Yes, In Person""",
The Daily Growler - Powell,Limited Hours,Noon to 8:00 p.m. subjec to change, https://www.thedailygrowler.com/powell-beers/,Powell,258 W. Olentangy St. ,Powell,43065,614-987-8277, https://www.thedailygrowler.com/powell-beers/,Email,info@thedailygrowler.com,Direct from Restaurant ,Carry Out,Yes,"Orders by 5:00 p.m. for same day delivery.
Future day orders accepted.","""Yes, Online"",""Yes, In Person""",
The Daily Growler - Upper Arlington,Limited Hours,Noon to 8:00 p.m. subjec to change,https://www.thedailygrowler.com/ua-beers/,Upper Arlington,2812 Fishinger Rd,Upper Arlington,43221,614-656-2337,https://www.thedailygrowler.com/ua-beers/,Email,info@thedailygrowler.com,Direct from Restaurant ,Carry Out,Yes,"Orders by 5:00 p.m. for same day delivery.
Future day orders accepted. ","""Yes, Online"",""Yes, In Person""",
The Kitchen,Limited Hours,"Taco Tuesday To Go | March 17th, 5-9pm",https://www.thekitchencolumbus.com/tacos-to-go,German/Merion Village,231 E. Livingston Ave,Columbus,43215,6142258940,thekitchencolumbus.com,Website,,,"Curbside,Carry Out",No,,"""Yes, Online"",""Yes, In Person""",
The lox bagel shop,Regular Hours,,theloxbagelshop.com,Short North/Italian Village,772 N High St suite 106,Columbus,43215,614,theloxbagelshop.com,"Website,Direct Call,Delivery Apps,Email",,"Door Dash,Direct from Restaurant ",Carry Out,Yes,Catering menu fully available ,"""Yes, In Person""",Yes
The Market Italian Village,Limited Hours,,https://www.themarketiv.com/evening,Short North/Italian Village,1022 Summit,Columbus,43201,6149482527,https://www.themarketiv.com/,"Direct Call,Delivery Apps",,"Direct from Restaurant ,GrubHub,Uber Eats","Curbside,Carry Out",Yes,Give us a call and let us know when you'd like to pick it up.,"""Yes, In Person""",Yes
The Original Pancake House,Regular Hours,,ophcentralohio.com,Upper Arlington,1633 W. Lane ave,Upper Arlington,43221,614-695-6810,ophcentralohio.com,"Direct Call,Website,Delivery Apps",,"Direct from Restaurant ,Uber Eats",Carry Out,No,,"""Yes, In Person""",
The Roosevelt Coffeehouse,Temporarily Closed,Our coffeehouses are closed. We will be back as soon as possible. But you can order coffee for delivery online.,www.roosevelt.coffee,Downtown,300 E. Long Street,Columbus,43215,6145717554,www.roosevelt.coffee,Website,,,None,Yes,Ship within two days.,"""Yes, Online""",
The Rossi Kitchen & Bar,Limited Hours,4-8pm,https://rossikitchenandbar.com/dinner-%26-dolce,Short North/Italian Village,895 N High Street,Columbus ,43215,6145250624,https://rossikitchenandbar.com/,"Website,Direct Call",,,,,,,
The Walrus,Limited Hours,,thewalruscolumbus.com,Downtown,143 E Main St,Columbus,43215,614.817.1710,thewalruscolumbus.com,"Direct Call,Delivery Apps",,"Direct from Restaurant ,Uber Eats",Carry Out,Yes,Please call by 3pm for next day pickup ,"""Yes, In Person""",
